phrase,intent
Почему процессоры ПК отстают в техпроцессе от мобильных процессоров ( 10-12 нм против 7-8 нм ) ?,наука_и_технология
Создатели Telegram открыли свой криптовалютный проект для тестирования всем желающим,наука_и_технология
Крупный российский интегратор выдает сотрудникам криптовалюту на мелкие радости жизни,наука_и_технология
Присадочную проволоку подавали отдельным механизмом,наука_и_технология
X5 открыла умный магазин « Пятерочка » без кассиров,наука_и_технология
Когда примерно создадут квантовый компьютер ?,наука_и_технология
"Amazon представила умные очки , кольцо и беспроводные наушники",наука_и_технология
Британская полиция привлекла ИИ для помощи в раскрытии преступлений,наука_и_технология
Почему виниловые пластинки так приятно звучат ?,наука_и_технология
"Объясните гуманитарию , что такое композитные материалы , используемые в автомобилестроении ?",наука_и_технология
"Зачем роботы фотографируют , если у них итак есть камеры , которые постоянно все записывают ?",наука_и_технология
Главный архитектор СУБД Tarantool ушел из Mail.ru и заявил о « распаде команды »,наука_и_технология
« Билайн бизнес » запустил сервис телемедицины для корпоративных клиентов,наука_и_технология
"Как изменится жизнь людей к 2050 году , с учётом постоянных научно-технических внедрений ?",наука_и_технология
Как развивается бионический дизайн в РФ ?,наука_и_технология
Альтернативой коловратного стал центробежный насос,наука_и_технология
Какие исследования проводят физики в Антарктике ?,наука_и_технология
Каковы предпосылки научно-технической революции ?,наука_и_технология
"Чем будут заниматься люди , если большинство рабочих мест автоматизируют , а работа станет привилегией ?",наука_и_технология
Между Москвой и Питером вот-вот поедут беспилотные грузовики,наука_и_технология
Девайсы после определенного момента перестают превносить что-то новое и революционное. Почему люди постоянно покупают всё новые и новые девайсы ?,наука_и_технология
« Мегафон » начал продавать сервисы для бизнеса из облака Mail.ru Group,наука_и_технология
Решающее дерево представим следующим образом,наука_и_технология
"Роботы уже сейчас заменяют людей в некоторых сферах. В будущем возможно роботы еще больше будут заменять людей. Так вот , что останется делать людям ? Как люди будут зарабатывать деньги ?",наука_и_технология
"Как ремонтируют атомные реакторы , если они радиоактивны ?",наука_и_технология
РЖД переведет своих сотрудников на смартфоны и планшеты с российской мобильной ОС « Аврора »,наука_и_технология
"При наличии супер компьтеров , кто-то пытался создать модель самозарождения жизни ? Т.е. эмуляция теории эволюции. ?",наука_и_технология
Назван самый продаваемый смартфон года,наука_и_технология
Что такое электрическая дуга ?,наука_и_технология
"SpaceX планирует развернуть сеть спутникового интернета раньше , чем планировалось",наука_и_технология
Там же защитил кандидатскую диссертацию,наука_и_технология
Предлагается двухтактный ДВС нового поколения,наука_и_технология
Какую задачу преследует в своей философии Ф. Шеллинг ?,наука_и_технология
Электрическая дуга - один из видов электрического разряда в газе,наука_и_технология
Неподдельный интерес вызывают ветряные двигатели,наука_и_технология
В основе метода лежит явление осмоса,наука_и_технология
Фейербах остался на позициях идеалистического понимания истории,наука_и_технология
В результате формируется определенная физическая картина мира,наука_и_технология
"Аппарат , используемый при дефектоскопии",наука_и_технология
"Раз Япония такая технологичная страна , то почему их телефоны такие отсталые и непопулярные в мире ?",наука_и_технология
Микроэлектроника для космоса и военных,наука_и_технология
Внешний лист отклонял кумулятивную струю,наука_и_технология
"Что будет , если путешествуя во времени , коснуться своего двойника из прошлого ?",наука_и_технология
Физики из США приблизились к созданию суперкомпьютера,наука_и_технология
"в качестве периодического процесса используются собственные колебания , связаные с процессами , происходящими на уровне атомов или молекул",наука_и_технология
"Появился наноматериал , который скручен и раскручен одновременно",наука_и_технология
"Чёрная дыра — область пространства-времени , гравитационное притяжение которой настолько велико , что покинуть её не могут даже объекты",наука_и_технология
Американская компания Google разработала самый мощный в мире квантовый компьютер,наука_и_технология
Внезапно вода может самостоятельно производить перекись водорода,наука_и_технология
Правительство создает комиссию по искусственному интеллекту,наука_и_технология
Какие технологии позволили бы запечатать белые пятна истории ? Будет ли ДНК давать подробную информацию о жизни исторических личностей и подтверждать их историчность или нужна машина времени ?,наука_и_технология
Не являются абсолютно очевидными и математические знания,наука_и_технология
"Станет ли в итоге практически вся личная и рабочая жизнь человека цифровой , а реальность будет второстепенна ?",наука_и_технология
Талантливые конструкторы решают различные задачи,наука_и_технология
Сгинет ли окончательно аналоговая ( плёночная ) фотография или продолжит существовать наряду с цифровой ?,наука_и_технология
Как сильно изменятся наши жизни после создания квантовых компьютеров ?,наука_и_технология
Исскуственный интелект в нашем мире подчиняется законам Айзака Азимова ?,наука_и_технология
Когда виртуальная реальность заменит привычную нам реальность ?,наука_и_технология
Что может суперкомпьютер ?,наука_и_технология
Автоматическая сварка стала суровой необходимостью,наука_и_технология
"Белые карлики — проэволюционировавшие звёзды с массой , не превышающей предел Чандрасекара",наука_и_технология
"Сотрудник Nokia случайно открыл подробности работы оборудования для СОРМ , поставляемого МТС",наука_и_технология
Поставлен новый рекорд квантовой суперпозиции,наука_и_технология
"Ученые вечно открывают что-то революционное , потом идут исследования несколько лет , потом результаты никто не знает ? Уходит это всё самым богатым ? Но не людям ?",наука_и_технология
Физики впервые измерили колебания стабильного жидкого кольца,наука_и_технология
Как отказаться от интернета и современных технологий или свести их использование к минимуму ?,наука_и_технология
Скоро во всех домашних животных будут принудительно вживлять чип ?,наука_и_технология
"Регионам выдадут 5 миллиардов на систему защиты от компьютерных атак , созданную ФСБ",наука_и_технология
Россияне выпустили уникальное устройство для интернета вещей,наука_и_технология
Какие изобретения и открытия первых 20 лет 21 века можно назвать революциоными ?,наука_и_технология
"Почему ракеты в космос не запускают с высокогорья ? Например , из Атакамы в Чили ( 4000 м над уровнем моря ) ?",наука_и_технология
ничего не понял,не_понятно
не понял,не_понятно
не понятно мне,не_понятно
снова не понятно,не_понятно
я не поняла это,не_понятно
не уловил мысль,не_понятно
вообще ничего не понял,не_понятно
не понял тебя,не_понятно
"неа , не понял",не_понятно
"к сожалению , не понял",не_понятно
Странные вопросы мне задаете !,негативная_оценка_вопросов_бота
ты такие странные вопросы задаешь,негативная_оценка_вопросов_бота
Это был глупый вопрос,негативная_оценка_вопросов_бота
вопросики однако у тебя,негативная_оценка_вопросов_бота
Еще странные вопросы будут ?,негативная_оценка_вопросов_бота
глупый вопрос !,негативная_оценка_вопросов_бота
Я не совсем вас понимаю,негативная_оценка_вопросов_бота
"К сожалению , я ничего не понимаю..",негативная_оценка_вопросов_бота
Я не могу ничего понять,негативная_оценка_вопросов_бота
Я ничего не понимаю,негативная_оценка_вопросов_бота
"ты лучше не спрашивай меня такие вещи , приятель !",негативная_оценка_вопросов_бота
"Согласитесь , глупый вопрос",негативная_оценка_вопросов_бота
Не расспрашивай меня ни о чем таком,негативная_оценка_вопросов_бота
не спрашивай меня об этом !,негативная_оценка_вопросов_бота
ты очень необычные вопросы задаешь,негативная_оценка_вопросов_бота
Я ничего не понимаю !,негативная_оценка_вопросов_бота
ты мог бы не задавать такие вопросы ?,негативная_оценка_вопросов_бота
Я тебя не понимаю !,негативная_оценка_вопросов_бота
как-то ты странно спрашиваешь,негативная_оценка_вопросов_бота
"не надо меня об этом спрашивать , пожалуйста",негативная_оценка_вопросов_бота
"тебя странные вещи интересуют , приятель",негативная_оценка_вопросов_бота
я не понимаю твои вопросы !,негативная_оценка_вопросов_бота
Что ты хочешь сказать ?,неопределенный_вопрос
Что ты имеешь в виду ?,неопределенный_вопрос
Ну и ?,неопределенный_вопрос
"Боюсь , не совсем понял , о чем ты спрашиваешь ?",неопределенный_вопрос
Что бы это значило ?,неопределенный_вопрос
Это как так ?,неопределенный_вопрос
Ты о чем это ?,неопределенный_вопрос
И что это значит ?,неопределенный_вопрос
О чем же ты спрашиваешь ?,неопределенный_вопрос
Что такое ?,неопределенный_вопрос
А в чем дело ?,неопределенный_вопрос
А мне какая разница ?,неопределенный_вопрос
Ты о чем ?,неопределенный_вопрос
А ты что ?,неопределенный_вопрос
Почему ты об этом спрашиваешь ?,неопределенный_вопрос
"Не понял , что тебе надо ?",неопределенный_вопрос
"Будьте добры , помогите пожалуйста",нужна_помощь
У меня вопрос есть,нужна_помощь
"окажи услугу , будь добр",нужна_помощь
"Здраствуйте , у меня есть вопрос !",нужна_помощь
ты не мог бы кое-что сделать ?,нужна_помощь
"Помоги , господи ! .",нужна_помощь
у меня к тебе вопрос,нужна_помощь
мне бы с проблемой разобраться,нужна_помощь
"я хотел бы с тобой поговорить , если не возражаешь",нужна_помощь
"Добрый день , вопрос есть",нужна_помощь
срочная помощь нужна,нужна_помощь
могу я вопрос задать ?,нужна_помощь
Здравствуйте У меня вопрос,нужна_помощь
так на вопрос-то ответите ?,нужна_помощь
мне консультация нужна,нужна_помощь
"Добрый день , помогите пожалуйста",нужна_помощь
хочу спросить совета,нужна_помощь
не откажусь от небольшой помощи,нужна_помощь
"внимание , вопрос",нужна_помощь
"добрый день , можете помочь ?",нужна_помощь
посоветоваться хочу,нужна_помощь
нужна помощь,нужна_помощь
хочу проконсультироваться,нужна_помощь
хотел бы проконсультироваться с тобой,нужна_помощь
у меня небольшая просьба,нужна_помощь
подскажите пожалуйста,нужна_помощь
"подсоби , а ?",нужна_помощь
Не мог бы ты помочь мне чуток ?,нужна_помощь
"Здравствуйте , подскажите пожалуйста",нужна_помощь
Обычно именно в контроллере размещают основную логику,о_компьютерах
"Прежде всего , необходимо выбрать архитектуру процессора",о_компьютерах
Настраиваем сетевой интерфейс на будущем контроллере домена,о_компьютерах
Что снизит себестоимость отдельно взятого микропроцессора,о_компьютерах
Безопасная полная очистка диска без возможности восстановления,о_компьютерах
О каком компьютере ты говоришь ?,о_компьютерах
Такие операции занимают значительное процессорное время,о_компьютерах
Ядро ос владеет ресурсами процессоров и памяти,о_компьютерах
Контроллер отвечает за обработку запросов пользователя,о_компьютерах
Повышаем сервер до контроллера домена,о_компьютерах
Внутри виртуальных дисков виртаульных машин,о_компьютерах
Скрипт подключает виртуальный диск из сети,о_компьютерах
После бэкапа подобный же скрипт отключает диск,о_компьютерах
Контроллеры кластера изолированы,о_компьютерах
Непосредственно поверх физических дисков располагается хранилище данных,о_компьютерах
Процессор с внешней памятью и портами,о_компьютерах
я новый ноутбук купил,о_компьютерах
Создадим контроллеры для asp,о_компьютерах
Основной проблемой конечно же стало охлаждение процессоров,о_компьютерах
Ответы контроллера также можно кешировать,о_компьютерах
И еще нужно пропатчить установочные дискеты,о_компьютерах
Драйверы уникальны для каждого контроллера,о_компьютерах
Для сборки я стал использовать препроцессоры,о_компьютерах
меня интересует веб-программирование,о_компьютерах
Получаем репозиторий в контроллере,о_компьютерах
Затем жесткие диски были переданы на восстановление,о_компьютерах
Практически вся логика прописана в процессорах,о_компьютерах
Ученые создали компьютерную модель солнечных пятен,о_компьютерах
"Это означает , что многоядерные процессоры бесполезны",о_компьютерах
Выполнить начальную настройку доступа к беспроводному контроллеру,о_компьютерах
Контроллер связывает модель и представление,о_компьютерах
Записывает в регистр dx процессора данные команды,о_компьютерах
Клонирование дисков и осуществление полного бэкапа,о_компьютерах
Поддерживается протокол самошифрования диска,о_компьютерах
Пришло время разработать систему команд процессора,о_компьютерах
Я купил новый компьютер,о_компьютерах
Программная переменная должна находится в аккумуляторе процессора,о_компьютерах
Создайте текстовый файл небольшого размера,о_компьютерах
Связано это с дисковым кешем,о_компьютерах
Пусть политики решают политические проблемы,о_политике
Я — с коммунистами,о_политике
Коммунистов я не люблю,о_политике
Нищие-то голосуют за коммунистов,о_политике
Но демократия - не значит анархия,о_политике
Президент России рассказал о преемнике,о_политике
Краевые политики меняются друзьями,о_политике
Причастен ли Кремль к убийствам в ДНР и ЛНР лидеров ополчения ?,о_политике
Державность и права человека несовместимы,о_политике
Почвенный либерализм,о_политике
Оппозиция Армении бойкотирует референдум,о_политике
Ты хочешь о политике поболтать ?,о_политике
А как люди коммунисты мне не мешают,о_политике
Где можно почитать объективную оценку внутренней и внешней политики современной России ?,о_политике
Президент Болгарии назначил досрочные парламентские выборы на 12 мая 2013г,о_политике
Царство свободы - это анархия ?,о_политике
"Вариант второй , диктатура коммунистов",о_политике
Глава Бурятии призвал митингующих признать итоги выборов мэра Улан-Удэ,о_политике
Демократия и права человека,о_политике
Возможно ли русское экономическое чудо в случае смены власти и при каких условиях ?,о_политике
"Объединенная оппозиция набрала лишь 14 , 2%",о_политике
Даже коммунистов я готов терпеть,о_политике
Каковы политические взгляды Егора Летова ?,о_политике
Тогда давай обсудим выборы,о_политике
Я политику коммунистов поддерживаю,о_политике
Их единственным требованием было введение исламского права,о_политике
Давай лучше о политике поговорим,о_политике
Ему нравится анархия в любом ее проявлении,о_политике
когда чиновники перестанут воровать,о_политике
Должность президента тоже не очень мне нравится,о_политике
Посольство РФ ответило на заявление Болгарии о роли СССР в войне,о_политике
"Левые , коммунисты меня не устраивают",о_политике
кто будет президентом,о_политике
Не все мне в их политике нравится,о_политике
Политической элите не нравится новый диагноз президента,о_политике
Ты не доверяешь ни единому политику,о_политике
Либерализм без границ,о_политике
"Как думаете , будет ли мировой кризис в 2019 году из-за торговой войны ?",о_политике
Этим занимаются политические лидеры,о_политике
Давайте поговорим о демократии,о_политике
"как ты относишься к тому , что Токарев победил на выборах в Казахстане ?",о_политике
Оппозиция бойкотировала голосование,о_политике
Вот за это я и ненавижу коммунистов,о_политике
"интересно , кто у нас будет следующим президентом",о_политике
Нравится его активное участие во внешней политике,о_политике
Ты свободен и веришь в свободу,о_политике
Ну а теперь поговорим на политические темы,о_политике
В этом плане коммунисты меня вообще удивляют,о_политике
Отказ от права предъявления новых исков,о_политике
А за кого голосовать-то будешь ?,о_политике
Все российские губернаторы сохранили свои места по итогам выборов,о_политике
"интересно , кто будет следующим президентом",о_политике
МВД выходит из-под контроля президента ?,о_политике
Я не против коммунистов,о_политике
Практический либерализм,о_политике
Есть проблемы и у коммунистов,о_политике
Беженцы из Абхазии митингуют в Тбилиси,о_политике
Симпатии у меня вызывают только коммунисты,о_политике
Лучше теперь поговорим о высокой политике,о_политике
"Давайте поговорим о политике , например",о_политике
путин или навальный ?,о_политике
Собянин оценил итоги выборов в Мосгордуму,о_политике
Власти и КПРФ скрывают эти данные,о_политике
Политические ожидания были завышены,о_политике
Политические вопросы на заседании не обсуждались,о_политике
Грузинская оппозиция призывает к массовым митингам,о_политике
В Германии к власти пришли нацисты,о_политике
Эта позиция президента нравится народу,о_политике
Давай поговорим о политике,о_политике
Путин предложил три кандидатуры на пост главы Крыма,о_политике
Есть ли в Армении политзаключенные ?,о_политике
Но это был не либерализм,о_политике
кого бы ты хотела видеть президентом рф ?,о_политике
О политике - давайте поговорим про про,о_политике
Каким будет правительство Армении ?,о_политике
"Мы выбираем президента , который нам нравится",о_политике
В « Единой России » заявили о безоговорочной победе партии на выборах,о_политике
Умер экс-президент Зимбабве Роберт Мугабе,о_политике
Капитализм - это либерализм плюс эволюция,о_политике
Как ты относишься к коммунизму ?,о_политике
Я призывал голосовать за коммунистов,о_политике
В Кремле отреагировали на отставку Болтона,о_политике
Я согласен с коммунистами,о_политике
В Республике Алтай избрали омбудсмена,о_политике
Русские партии хотят в Европарламент,о_политике
почему Путин до сих пор президент,о_политике
сколько путин будет президентом,о_политике
как ты относишься к евромайдану,о_политике
В МИД отреагировали на сообщение об эвакуации из России шпиона США,о_политике
Принцип верховенства права и прозрачность,о_политике
Меня за колхоз в коммунисты зачислили,о_политике
Однако политические интересы снова взяли верх,о_политике
Я отнюдь не фанат коммунистов,о_политике
Горняки не намерены выдвигать политические требования,о_политике
В июне прошли выборы президента РСФСР,о_политике
"Одни боятся ментов , другие — коммунистов",о_политике
"Путин заявил , что молодежь имеет право на протестные акции",о_политике
Нравится мне у них демократия,о_политике
Кандидаты от оппозиции займут 20 из 45 депутатских мест в Мосгордуме,о_политике
Но поговорим о большой политике,о_политике
Кремль подтвердил работу шпиона в администрации президента,о_политике
Нищим и богатым больше подходит диктатура,о_политике
Победит ли Трамп на следующих выборах ?,о_политике
Что ты думаешь о коммунизме ?,о_политике
Такой либерализм чреват курьезами,о_политике
В Ингушетии избрали нового главу республики,о_политике
Вице-премьер России прибыл в Ереван,о_политике
Я серьезно занимаюсь политикой,о_политике
кто будет президентом России,о_политике
Как ты относишься к капитализму ?,о_политике
когда у нас будет новый президент,о_политике
кто такой хуйло ?,о_политике
Верховная рада приняла закон об импичменте президента,о_политике
Мне гораздо больше нравится демократия,о_политике
Мне нравится защищать свободу на баррикадах,о_политике
В партии эсеров Керенский был новичком,о_политике
Рада приняла закон об отмене депутатской неприкосновенности,о_политике
"Почему все действующие и оппозиционные политики в Вост. Европе и России , как левые так и правые , активно выступающие за демократию , права человека и т.д. , фактически являются либеральными фашистами ?",о_политике
Послы ЕС согласовали продление антироссийских санкций,о_политике
Меня коммунисты любили,о_политике
надо свергнуть власть,о_политике
Рейтинг объединенных правых партий падает,о_политике
кто сменит путина,о_политике
Президент России прибыл в Германию,о_политике
Правые политики были удовлетворены,о_политике
Жесткие задержания начались в Улан-Удэ на второй день акции протеста против итогов выборов мэра и горсовета,о_политике
США ввели санкции против двух сотрудников СК России,о_политике
Правозащитники обеспокоены усилением наступления на права человека,о_политике
А власть права по определению,о_политике
Поговорим о политике,о_политике
Мне не нравится демократия,о_политике
Министр встретился с российским послом,о_политике
В конгрессе призвали Трампа ввести новые санкции против России,о_политике
кого бы ты хотела видеть президентом сша ?,о_политике
Давайте обсудим вопрос демократии,о_политике
Что ты думаешь о капитализме ?,о_политике
За ходом выборов следят наблюдатели,о_политике
"Я– сотрудник Сбербанка , каковы шансы что меня уволят , если я приду 12 июня на марш в поддержку Ивана Голунова ?",о_политике
Постулат демократии - людям нравится быть обманутыми,о_политике
Бегство главы ЦИКа оживило оппозицию,о_политике
Однако мне больше нравится демократия,о_политике
Для чиновников это и есть реформы,о_политике
За ней - политические и пропагандистские интересы,о_политике
Коммунисты решили изменить название партии,о_политике
Права человека имеют всеобщий характер,о_политике
Мне выборы по телевизору смотреть тоже нравится,о_политике
Помощник депутата покидает свой пост,о_политике
ты любишь путина ?,о_политике
У коммунистов нет никаких эффективных рецептов,о_политике
Права человека на дороге не валяются,о_политике
Частично слились с баптистами,о_религии
6 храмов находятся в Архангельске,о_религии
Что Бог пообещал праведникам ?,о_религии
Ранее приходы русских православных церквей в Западной Европе обратились с соответствующей просьбой к РПЦ на фоне конфликта с Константинопольским патриархатом,о_религии
В ответ Иисус Христос рассказал притчу,о_религии
Как православные будут молиться ?,о_религии
Богу молиться - благополучие,о_религии
Приближается великий день Пасхи,о_религии
Вслед за ней отношения с Константинополем разорвал Архиерейский синод Русской зарубежной церкви,о_религии
Русские приходы в Западной Европе присоединились к РПЦ,о_религии
Архиепископия западноевропейских приходов русской традиции была основана в 1921 году,о_религии
Зачем нужен Дьявол ?,о_религии
"В церкви было светло , солнечно",о_религии
Стоит ли мусульманам верить во всякие предсказание и стоит ли ходить за помощью к экстрасенсам ?,о_религии
Православные отмечают Рождество Пресвятой Богородицы,о_религии
Почему эволюции присваивают качества всемогущего Бога и верят ей как Богу ?,о_религии
вот на этом и кончилось христианство,о_религии
Русская Православная Церковь отмечает Сретение Господне,о_религии
Православные отмечают Воздвижение Креста Господня,о_религии
Христос воскрес православные братья !,о_религии
Саратовской епархии передали детский оздоровительный лагерь,о_религии
В храме на Пасху откроются пропасти,о_религии
Прислушаемся к их молитвам..,о_религии
Началась вторая неделя Рождественского поста,о_религии
"Напротив , протестантизм абсолютизирует свободу индивидуального начала",о_религии
Оскорбятся ли православные верующие ?,о_религии
Возьмем первые главы Ветхого Завета,о_религии
В церкви меня посещают греховные мысли,о_религии
В 1966 году сформировалась Церковь Сатаны,о_религии
"Уважаемые православные христиане , что сказано в Библии по поводу "" икона=идол "" ?",о_религии
В этом и заключался праздник Пасхи,о_религии
"Люди часто молятся и просят Бога , сделай так , чтобы мне было хорошо ?",о_религии
Религий здесь смешалось несколько,о_религии
Отвлекусь на тему религии,о_религии
В 1879 г. принял священнический сан,о_религии
Везде храмы православные понастроили,о_религии
А вашу квартиру отдадим церкви,о_религии
В 1783 г. получил священнический сан,о_религии
"Бес умён , да его бог не любит",о_религии
В Церкви огромную роль играла икономия,о_религии
В него вошло более ста священников,о_религии
В Англии стоял за церковную иерархию,о_религии
Небо не слышало молитвы,о_религии
В молитве ты обращаешься к Господу,о_религии
"Почему время Рамадана благословенно , заповедно и священно ?",о_религии
Судить может только Бог,о_религии
За что конкретно человека причисляют к лику святых ?,о_религии
Богослужение началось с гнусавого пения,о_религии
В Иисусе сам Логос стал личностью,о_религии
Его уста шептали молитву,о_религии
Молите бога обо мне,о_религии
Этим занимается Православная Церковь,о_религии
Поездку благословил православный священник,о_религии
Фигура Сиддхартхи Гаутамы постепенно приобрела божественный характер,о_религии
Во всех церквах звонили в колокола,о_религии
Ветхий Завет был вытеснен Новым;,о_религии
Как держать себя в храме,о_религии
В середине октября РПЦ из-за намерения Вселенского патриархата предоставить автокефалию украинским православным церквам разорвала с ним евхаристическое общение,о_религии
В этом заключается общая идея буддизма,о_религии
В шесть часов начиналась утренняя молитва,о_религии
А сами напоказ не креститесь в церкви ?,о_религии
В монастыре этом было 500 монахинь,о_религии
Написал первую икону Пресвятой Богородицы,о_религии
В ритуал праздника входит особая молитва,о_религии
Так одеваются религиозные евреи,о_религии
В ереси обвиняли и Митрополита Зосиму,о_религии
Подобную интерпретацию Православная церковь осуждает,о_религии
В иудейской традиции Бога называли Отцом,о_религии
Если бог создал людей по своему подобию то по чьему подобию он создал его ?,о_религии
